Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
N.A.,20,905,905,Northern America,0,306307,95.1,162.5,10.3
N.A.,20,906,906,Eastern Asia,0,480019,37.5,60.3,4.0
N.A.,20,910,910,Eastern Africa,0,47300,31.9,20.0,3.4
N.A.,20,911,911,Middle Africa,0,16856,30.0,17.7,3.2
N.A.,20,912,912,Northern Africa,0,64977,53.2,51.2,5.5
N.A.,20,913,913,Southern Africa,0,15815,46.2,45.0,5.0
N.A.,20,914,914,Western Africa,0,53605,41.6,25.5,4.5
N.A.,20,915,915,Caribbean,0,14862,49.6,66.7,5.3
N.A.,20,916,916,Central America,0,39835,38.3,42.5,4.1
N.A.,20,920,920,South-Eastern Asia,0,168536,41.7,49.4,4.5
N.A.,20,921,921,South Central Asia,0,273902,26.7,27.4,2.9
N.A.,20,922,922,Western Asia,0,63360,45.4,46.1,4.8
N.A.,20,923,923,Eastern Europe,0,163474,58.3,105.8,6.5
N.A.,20,924,924,Northern Europe,0,89324,90.8,164.9,9.8
N.A.,20,925,925,Southern Europe,0,124621,81.8,160.8,8.6
N.A.,20,926,926,Western Europe,0,180113,89.8,180.0,9.5
N.A.,20,927,927,Australia-New Zealand,0,25786,100.3,165.5,10.8
N.A.,20,928,928,Melanesia,0,2294,49.2,40.6,5.2
N.A.,20,931,931,South America,0,165427,57.2,74.4,6.2
N.A.,20,954,954,Micronesia,0,133,43.9,48.0,4.6
N.A.,20,957,957,Polynesia,0,294,76.9,86.1,8.0
,,,,Total,,2296840,46.8,58.7,5.1
