Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
N.A.,20,905,905,Northern America,0,1391,1.0,1.5,0.06
N.A.,20,906,906,Eastern Asia,0,3935,0.62,1.1,0.03
N.A.,20,910,910,Eastern Africa,0,5342,3.3,2.8,0.17
N.A.,20,911,911,Middle Africa,0,2043,3.3,2.6,0.18
N.A.,20,912,912,Northern Africa,0,3562,3.5,4.0,0.19
N.A.,20,913,913,Southern Africa,0,548,1.7,2.2,0.10
N.A.,20,914,914,Western Africa,0,5085,3.7,3.0,0.20
N.A.,20,915,915,Caribbean,0,410,2.4,3.1,0.13
N.A.,20,916,916,Central America,0,830,1.1,1.4,0.06
N.A.,20,920,920,South-Eastern Asia,0,4693,1.7,2.2,0.09
N.A.,20,921,921,South Central Asia,0,12063,1.4,1.8,0.08
N.A.,20,922,922,Western Asia,0,2514,2.2,2.7,0.12
N.A.,20,923,923,Eastern Europe,0,1419,1.2,2.1,0.06
N.A.,20,924,924,Northern Europe,0,409,1.0,1.6,0.06
N.A.,20,925,925,Southern Europe,0,503,1.0,1.7,0.06
N.A.,20,926,926,Western Europe,0,805,1.2,1.9,0.07
N.A.,20,927,927,Australia-New Zealand,0,109,0.88,1.4,0.05
N.A.,20,928,928,Melanesia,0,180,4.3,4.3,0.23
N.A.,20,931,931,South America,0,2853,1.5,2.2,0.08
N.A.,20,954,954,Micronesia,0,0,0.00,0.00,0.00
N.A.,20,957,957,Polynesia,0,6,2.3,2.7,0.13
,,,,Total,,48700,1.6,2.0,0.09
