Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
20,Breast,906,Eastern Asia,0,0,480019,2022,480019,0,0,0
20,Breast,906,Eastern Asia,0,0,480019,2025,507082,27063,5.6379,0
20,Breast,906,Eastern Asia,0,0,480019,2030,531477,51458,10.72,0
20,Breast,906,Eastern Asia,0,0,480019,2035,547211,67192,13.9978,0
20,Breast,906,Eastern Asia,0,0,480019,2040,548782,68763,14.3251,0
20,Breast,906,Eastern Asia,0,0,480019,2045,543525,63506,13.2299,0
20,Breast,906,Eastern Asia,0,0,480019,2050,535006,54987,11.4552,0
20,Breast,910,Eastern Africa,0,0,47300,2022,47300,0,0,0
20,Breast,910,Eastern Africa,0,0,47300,2025,52613,5313,11.2326,0
20,Breast,910,Eastern Africa,0,0,47300,2030,63059,15759,33.3171,0
20,Breast,910,Eastern Africa,0,0,47300,2035,75290,27990,59.1755,0
20,Breast,910,Eastern Africa,0,0,47300,2040,89356,42056,88.9133,0
20,Breast,910,Eastern Africa,0,0,47300,2045,105271,57971,122.5603,0
20,Breast,910,Eastern Africa,0,0,47300,2050,122980,75680,160,0
20,Breast,911,Middle Africa,0,0,16856,2022,16856,0,0,0
20,Breast,911,Middle Africa,0,0,16856,2025,19144,2288,13.5738,0
20,Breast,911,Middle Africa,0,0,16856,2030,22701,5845,34.6761,0
20,Breast,911,Middle Africa,0,0,16856,2035,26946,10090,59.86,0
20,Breast,911,Middle Africa,0,0,16856,2040,31985,15129,89.7544,0
20,Breast,911,Middle Africa,0,0,16856,2045,37918,21062,124.9525,0
20,Breast,911,Middle Africa,0,0,16856,2050,44830,27974,165.9587,0
20,Breast,912,Northern Africa,0,0,64977,2022,64977,0,0,0
20,Breast,912,Northern Africa,0,0,64977,2025,70519,5542,8.5292,0
20,Breast,912,Northern Africa,0,0,64977,2030,79801,14824,22.8142,0
20,Breast,912,Northern Africa,0,0,64977,2035,89211,24234,37.2963,0
20,Breast,912,Northern Africa,0,0,64977,2040,98740,33763,51.9615,0
20,Breast,912,Northern Africa,0,0,64977,2045,108375,43398,66.7898,0
20,Breast,912,Northern Africa,0,0,64977,2050,118136,53159,81.812,0
20,Breast,913,Southern Africa,0,0,15815,2022,15815,0,0,0
20,Breast,913,Southern Africa,0,0,15815,2025,17542,1727,10.92,0
20,Breast,913,Southern Africa,0,0,15815,2030,19779,3964,25.0648,0
20,Breast,913,Southern Africa,0,0,15815,2035,22060,6245,39.4878,0
20,Breast,913,Southern Africa,0,0,15815,2040,24244,8429,53.2975,0
20,Breast,913,Southern Africa,0,0,15815,2045,26354,10539,66.6393,0
20,Breast,913,Southern Africa,0,0,15815,2050,28478,12663,80.0696,0
20,Breast,914,Western Africa,0,0,53605,2022,53605,0,0,0
20,Breast,914,Western Africa,0,0,53605,2025,59568,5963,11.124,0
20,Breast,914,Western Africa,0,0,53605,2030,69656,16051,29.9431,0
20,Breast,914,Western Africa,0,0,53605,2035,81428,27823,51.9037,0
20,Breast,914,Western Africa,0,0,53605,2040,95067,41462,77.3473,0
20,Breast,914,Western Africa,0,0,53605,2045,110734,57129,106.574,0
20,Breast,914,Western Africa,0,0,53605,2050,128525,74920,139.7631,0
20,Breast,915,Caribbean,0,0,14862,2022,14862,0,0,0
20,Breast,915,Caribbean,0,0,14862,2025,15601,739,4.9724,0
20,Breast,915,Caribbean,0,0,14862,2030,16976,2114,14.2242,0
