Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
20,Breast,906,Eastern Asia,0,1,93454,2022,93454,0,0,0
20,Breast,906,Eastern Asia,0,1,93454,2025,100755,7301,7.8124,0
20,Breast,906,Eastern Asia,0,1,93454,2030,111470,18016,19.2779,0
20,Breast,906,Eastern Asia,0,1,93454,2035,121444,27990,29.9506,0
20,Breast,906,Eastern Asia,0,1,93454,2040,129028,35574,38.0658,0
20,Breast,906,Eastern Asia,0,1,93454,2045,134362,40908,43.7734,0
20,Breast,906,Eastern Asia,0,1,93454,2050,138810,45356,48.533,0
20,Breast,910,Eastern Africa,0,1,19988,2022,19988,0,0,0
20,Breast,910,Eastern Africa,0,1,19988,2025,22250,2262,11.3168,0
20,Breast,910,Eastern Africa,0,1,19988,2030,26972,6984,34.941,0
20,Breast,910,Eastern Africa,0,1,19988,2035,32551,12563,62.8527,0
20,Breast,910,Eastern Africa,0,1,19988,2040,39152,19164,95.8775,0
20,Breast,910,Eastern Africa,0,1,19988,2045,46944,26956,134.8609,0
20,Breast,910,Eastern Africa,0,1,19988,2050,55931,35943,179.8229,0
20,Breast,911,Middle Africa,0,1,7099,2022,7099,0,0,0
20,Breast,911,Middle Africa,0,1,7099,2025,8086,987,13.9034,0
20,Breast,911,Middle Africa,0,1,7099,2030,9642,2543,35.8219,0
20,Breast,911,Middle Africa,0,1,7099,2035,11488,4389,61.8256,0
20,Breast,911,Middle Africa,0,1,7099,2040,13659,6560,92.4074,0
20,Breast,911,Middle Africa,0,1,7099,2045,16225,9126,128.5533,0
20,Breast,911,Middle Africa,0,1,7099,2050,19333,12234,172.3341,0
20,Breast,912,Northern Africa,0,1,19624,2022,19624,0,0,0
20,Breast,912,Northern Africa,0,1,19624,2025,21248,1624,8.2756,0
20,Breast,912,Northern Africa,0,1,19624,2030,25153,5529,28.1747,0
20,Breast,912,Northern Africa,0,1,19624,2035,29253,9629,49.0675,0
