Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
20,Breast,927,Australia-New Zealand,0,0,24185,2045,34812,10627,43.9405,0
20,Breast,927,Australia-New Zealand,0,0,24185,2050,36563,12378,51.1805,0
20,Breast,928,Melanesia,0,0,1848,2022,1848,0,0,0
20,Breast,928,Melanesia,0,0,1848,2025,2078,230,12.4459,0
20,Breast,928,Melanesia,0,0,1848,2030,2495,647,35.0108,0
20,Breast,928,Melanesia,0,0,1848,2035,2936,1088,58.8745,0
20,Breast,928,Melanesia,0,0,1848,2040,3386,1538,83.2251,0
20,Breast,928,Melanesia,0,0,1848,2045,3845,1997,108.0628,0
20,Breast,928,Melanesia,0,0,1848,2050,4311,2463,133.2792,0
20,Breast,931,South America,0,0,145073,2022,145073,0,0,0
20,Breast,931,South America,0,0,145073,2025,153746,8673,5.9784,0
20,Breast,931,South America,0,0,145073,2030,173009,27936,19.2565,0
20,Breast,931,South America,0,0,145073,2035,191892,46819,32.2727,0
20,Breast,931,South America,0,0,145073,2040,209669,64596,44.5265,0
20,Breast,931,South America,0,0,145073,2045,225433,80360,55.3928,0
20,Breast,931,South America,0,0,145073,2050,238991,93918,64.7384,0
20,Breast,954,Micronesia,0,0,124,2022,124,0,0,0
20,Breast,954,Micronesia,0,0,124,2025,133,9,7.2581,0
20,Breast,954,Micronesia,0,0,124,2030,149,25,20.1613,0
20,Breast,954,Micronesia,0,0,124,2035,165,41,33.0645,0
20,Breast,954,Micronesia,0,0,124,2040,183,59,47.5806,0
20,Breast,954,Micronesia,0,0,124,2045,198,74,59.6774,0
20,Breast,954,Micronesia,0,0,124,2050,212,88,70.9677,0
20,Breast,957,Polynesia,0,0,263,2022,263,0,0,0
20,Breast,957,Polynesia,0,0,263,2025,297,34,12.9278,0
20,Breast,957,Polynesia,0,0,263,2030,338,75,28.5171,0
20,Breast,957,Polynesia,0,0,263,2035,380,117,44.4867,0
20,Breast,957,Polynesia,0,0,263,2040,418,155,58.9354,0
20,Breast,957,Polynesia,0,0,263,2045,455,192,73.0038,0
20,Breast,957,Polynesia,0,0,263,2050,491,228,86.692,0
