Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
20,Breast,927,Australia-New Zealand,0,1,109,2030,119,10,9.1743,0
20,Breast,927,Australia-New Zealand,0,1,109,2035,113,4,3.6697,0
20,Breast,927,Australia-New Zealand,0,1,109,2040,112,3,2.7523,0
20,Breast,927,Australia-New Zealand,0,1,109,2045,117,8,7.3394,0
20,Breast,927,Australia-New Zealand,0,1,109,2050,118,9,8.2569,0
20,Breast,928,Melanesia,0,1,180,2022,180,0,0,0
20,Breast,928,Melanesia,0,1,180,2025,218,38,21.1111,0
20,Breast,928,Melanesia,0,1,180,2030,233,53,29.4444,0
20,Breast,928,Melanesia,0,1,180,2035,250,70,38.8889,0
20,Breast,928,Melanesia,0,1,180,2040,269,89,49.4444,0
20,Breast,928,Melanesia,0,1,180,2045,289,109,60.5556,0
20,Breast,928,Melanesia,0,1,180,2050,306,126,70,0
20,Breast,931,South America,0,1,2853,2022,2853,0,0,0
20,Breast,931,South America,0,1,2853,2025,2886,33,1.1567,0
20,Breast,931,South America,0,1,2853,2030,2885,32,1.1216,0
20,Breast,931,South America,0,1,2853,2035,2844,-9,-0.3155,0
20,Breast,931,South America,0,1,2853,2040,2761,-92,-3.2247,0
20,Breast,931,South America,0,1,2853,2045,2699,-154,-5.3978,0
20,Breast,931,South America,0,1,2853,2050,2630,-223,-7.8163,0
20,Breast,954,Micronesia,0,1,0,2022,0,0,,0
20,Breast,954,Micronesia,0,1,0,2025,0,0,,0
20,Breast,954,Micronesia,0,1,0,2030,0,0,,0
20,Breast,954,Micronesia,0,1,0,2035,0,0,,0
20,Breast,954,Micronesia,0,1,0,2040,0,0,,0
20,Breast,954,Micronesia,0,1,0,2045,0,0,,0
20,Breast,954,Micronesia,0,1,0,2050,0,0,,0
20,Breast,957,Polynesia,0,1,6,2022,6,0,0,0
20,Breast,957,Polynesia,0,1,6,2025,7,1,16.6667,0
20,Breast,957,Polynesia,0,1,6,2030,7,1,16.6667,0
20,Breast,957,Polynesia,0,1,6,2035,6,0,0,0
20,Breast,957,Polynesia,0,1,6,2040,7,1,16.6667,0
20,Breast,957,Polynesia,0,1,6,2045,7,1,16.6667,0
20,Breast,957,Polynesia,0,1,6,2050,8,2,33.3333,0
