Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
20,Breast,906,Eastern Asia,0,0,42048,2022,42048,0,0,0
20,Breast,906,Eastern Asia,0,0,42048,2025,43238,1190,2.8301,0
20,Breast,906,Eastern Asia,0,0,42048,2030,36087,-5961,-14.1767,0
20,Breast,906,Eastern Asia,0,0,42048,2035,32106,-9942,-23.6444,0
20,Breast,906,Eastern Asia,0,0,42048,2040,31608,-10440,-24.8288,0
20,Breast,906,Eastern Asia,0,0,42048,2045,32487,-9561,-22.7383,0
20,Breast,906,Eastern Asia,0,0,42048,2050,31415,-10633,-25.2878,0
20,Breast,910,Eastern Africa,0,0,11747,2022,11747,0,0,0
20,Breast,910,Eastern Africa,0,0,11747,2025,12988,1241,10.5644,0
20,Breast,910,Eastern Africa,0,0,11747,2030,15041,3294,28.0412,0
20,Breast,910,Eastern Africa,0,0,11747,2035,17404,5657,48.157,0
20,Breast,910,Eastern Africa,0,0,11747,2040,19818,8071,68.7069,0
20,Breast,910,Eastern Africa,0,0,11747,2045,21994,10247,87.2308,0
20,Breast,910,Eastern Africa,0,0,11747,2050,23928,12181,103.6946,0
20,Breast,911,Middle Africa,0,0,4456,2022,4456,0,0,0
20,Breast,911,Middle Africa,0,0,4456,2025,5017,561,12.5898,0
20,Breast,911,Middle Africa,0,0,4456,2030,5856,1400,31.4183,0
20,Breast,911,Middle Africa,0,0,4456,2035,6885,2429,54.5108,0
20,Breast,911,Middle Africa,0,0,4456,2040,8155,3699,83.0117,0
20,Breast,911,Middle Africa,0,0,4456,2045,9638,5182,116.2926,0
20,Breast,911,Middle Africa,0,0,4456,2050,11145,6689,150.1122,0
20,Breast,912,Northern Africa,0,0,13703,2022,13703,0,0,0
20,Breast,912,Northern Africa,0,0,13703,2025,14213,510,3.7218,0
20,Breast,912,Northern Africa,0,0,13703,2030,14429,726,5.2981,0
20,Breast,912,Northern Africa,0,0,13703,2035,15090,1387,10.1219,0
20,Breast,912,Northern Africa,0,0,13703,2040,16594,2891,21.0976,0
20,Breast,912,Northern Africa,0,0,13703,2045,18554,4851,35.401,0
20,Breast,912,Northern Africa,0,0,13703,2050,20087,6384,46.5883,0
20,Breast,913,Southern Africa,0,0,1912,2022,1912,0,0,0
20,Breast,913,Southern Africa,0,0,1912,2025,2013,101,5.2824,0
20,Breast,913,Southern Africa,0,0,1912,2030,1904,-8,-0.4184,0
20,Breast,913,Southern Africa,0,0,1912,2035,1795,-117,-6.1192,0
20,Breast,913,Southern Africa,0,0,1912,2040,1868,-44,-2.3013,0
20,Breast,913,Southern Africa,0,0,1912,2045,2072,160,8.3682,0
20,Breast,913,Southern Africa,0,0,1912,2050,2145,233,12.1862,0
20,Breast,914,Western Africa,0,0,11350,2022,11350,0,0,0
20,Breast,914,Western Africa,0,0,11350,2025,12349,999,8.8018,0
20,Breast,914,Western Africa,0,0,11350,2030,14232,2882,25.3921,0
20,Breast,914,Western Africa,0,0,11350,2035,16587,5237,46.141,0
20,Breast,914,Western Africa,0,0,11350,2040,19315,7965,70.1762,0
20,Breast,914,Western Africa,0,0,11350,2045,22013,10663,93.9471,0
20,Breast,914,Western Africa,0,0,11350,2050,24482,13132,115.7004,0
20,Breast,915,Caribbean,0,0,1768,2022,1768,0,0,0
20,Breast,915,Caribbean,0,0,1768,2025,1835,67,3.7896,0
20,Breast,915,Caribbean,0,0,1768,2030,1829,61,3.4502,0
20,Breast,915,Caribbean,0,0,1768,2035,1797,29,1.6403,0
20,Breast,915,Caribbean,0,0,1768,2040,1765,-3,-0.1697,0
20,Breast,915,Caribbean,0,0,1768,2045,1742,-26,-1.4706,0
20,Breast,915,Caribbean,0,0,1768,2050,1724,-44,-2.4887,0
20,Breast,916,Central America,0,0,6010,2022,6010,0,0,0
20,Breast,916,Central America,0,0,6010,2025,6065,55,0.9151,0
20,Breast,916,Central America,0,0,6010,2030,6300,290,4.8253,0
20,Breast,916,Central America,0,0,6010,2035,6374,364,6.0566,0
20,Breast,916,Central America,0,0,6010,2040,6346,336,5.5907,0
20,Breast,916,Central America,0,0,6010,2045,6225,215,3.5774,0
20,Breast,916,Central America,0,0,6010,2050,6021,11,0.183,0
20,Breast,920,South-Eastern Asia,0,0,23109,2022,23109,0,0,0
20,Breast,920,South-Eastern Asia,0,0,23109,2025,23305,196,0.8482,0
20,Breast,920,South-Eastern Asia,0,0,23109,2030,23542,433,1.8737,0
20,Breast,920,South-Eastern Asia,0,0,23109,2035,23427,318,1.3761,0
20,Breast,920,South-Eastern Asia,0,0,23109,2040,23521,412,1.7829,0
20,Breast,920,South-Eastern Asia,0,0,23109,2045,23838,729,3.1546,0
20,Breast,920,South-Eastern Asia,0,0,23109,2050,23730,621,2.6873,0
20,Breast,921,South Central Asia,0,0,44266,2022,44266,0,0,0
20,Breast,921,South Central Asia,0,0,44266,2025,46253,1987,4.4888,0
20,Breast,921,South Central Asia,0,0,44266,2030,48034,3768,8.5122,0
20,Breast,921,South Central Asia,0,0,44266,2035,49320,5054,11.4173,0
20,Breast,921,South Central Asia,0,0,44266,2040,50155,5889,13.3037,0
20,Breast,921,South Central Asia,0,0,44266,2045,49876,5610,12.6734,0
20,Breast,921,South Central Asia,0,0,44266,2050,49417,5151,11.6365,0
20,Breast,922,Western Asia,0,0,10958,2022,10958,0,0,0
20,Breast,922,Western Asia,0,0,10958,2025,11197,239,2.1811,0
20,Breast,922,Western Asia,0,0,10958,2030,11697,739,6.7439,0
20,Breast,922,Western Asia,0,0,10958,2035,12184,1226,11.1882,0
20,Breast,922,Western Asia,0,0,10958,2040,12956,1998,18.2333,0
20,Breast,922,Western Asia,0,0,10958,2045,13763,2805,25.5977,0
20,Breast,922,Western Asia,0,0,10958,2050,14095,3137,28.6275,0
20,Breast,923,Eastern Europe,0,0,11911,2022,11911,0,0,0
20,Breast,923,Eastern Europe,0,0,11911,2025,11123,-788,-6.6157,0
20,Breast,923,Eastern Europe,0,0,11911,2030,8917,-2994,-25.1364,0
20,Breast,923,Eastern Europe,0,0,11911,2035,7946,-3965,-33.2886,0
20,Breast,923,Eastern Europe,0,0,11911,2040,8259,-3652,-30.6607,0
20,Breast,923,Eastern Europe,0,0,11911,2045,8810,-3101,-26.0348,0
20,Breast,923,Eastern Europe,0,0,11911,2050,8720,-3191,-26.7904,0
20,Breast,924,Northern Europe,0,0,4675,2022,4675,0,0,0
20,Breast,924,Northern Europe,0,0,4675,2025,4629,-46,-0.984,0
20,Breast,924,Northern Europe,0,0,4675,2030,4544,-131,-2.8021,0
