Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Risk change,Risk percentage (%)
20,Breast,903,Africa,2,0,43168,2022,43168,0,0
20,Breast,903,Africa,2,0,43168,2025,46885,3717,8.6105
20,Breast,903,Africa,2,0,43168,2030,52423,9255,21.4395
20,Breast,903,Africa,2,0,43168,2035,59419,16251,37.6459
20,Breast,903,Africa,2,0,43168,2040,67924,24756,57.348
20,Breast,903,Africa,2,0,43168,2045,76783,33615,77.8702
20,Breast,903,Africa,2,0,43168,2050,84683,41515,96.1708
20,Breast,904,Latin America and the Caribbean,2,0,28132,2022,28132,0,0
20,Breast,904,Latin America and the Caribbean,2,0,28132,2025,28433,301,1.07
20,Breast,904,Latin America and the Caribbean,2,0,28132,2030,28661,529,1.8804
20,Breast,904,Latin America and the Caribbean,2,0,28132,2035,28426,294,1.0451
20,Breast,904,Latin America and the Caribbean,2,0,28132,2040,27834,-298,-1.0593
20,Breast,904,Latin America and the Caribbean,2,0,28132,2045,27220,-912,-3.2419
20,Breast,904,Latin America and the Caribbean,2,0,28132,2050,26454,-1678,-5.9647
20,Breast,905,Northern America,2,0,18096,2022,18096,0,0
20,Breast,905,Northern America,2,0,18096,2025,18527,431,2.3817
20,Breast,905,Northern America,2,0,18096,2030,18828,732,4.0451
20,Breast,905,Northern America,2,0,18096,2035,18888,792,4.3767
20,Breast,905,Northern America,2,0,18096,2040,19232,1136,6.2776
20,Breast,905,Northern America,2,0,18096,2045,19120,1024,5.6587
20,Breast,905,Northern America,2,0,18096,2050,18360,264,1.4589
20,Breast,908,Europe,2,0,34196,2022,34196,0,0
20,Breast,908,Europe,2,0,34196,2025,32891,-1305,-3.8162
20,Breast,908,Europe,2,0,34196,2030,29370,-4826,-14.1128
20,Breast,908,Europe,2,0,34196,2035,27550,-6646,-19.435
20,Breast,908,Europe,2,0,34196,2040,27657,-6539,-19.1221
20,Breast,908,Europe,2,0,34196,2045,28311,-5885,-17.2096
20,Breast,908,Europe,2,0,34196,2050,27645,-6551,-19.1572
20,Breast,909,Oceania,2,0,2087,2022,2087,0,0
20,Breast,909,Oceania,2,0,2087,2025,2325,238,11.4039
20,Breast,909,Oceania,2,0,2087,2030,2368,281,13.4643
20,Breast,909,Oceania,2,0,2087,2035,2355,268,12.8414
20,Breast,909,Oceania,2,0,2087,2040,2407,320,15.333
20,Breast,909,Oceania,2,0,2087,2045,2538,451,21.61
20,Breast,909,Oceania,2,0,2087,2050,2598,511,24.4849
20,Breast,935,Asia,2,0,120381,2022,120381,0,0
20,Breast,935,Asia,2,0,120381,2025,124147,3766,3.1284
20,Breast,935,Asia,2,0,120381,2030,120186,-195,-0.162
20,Breast,935,Asia,2,0,120381,2035,118391,-1990,-1.6531
20,Breast,935,Asia,2,0,120381,2040,119683,-698,-0.5798
20,Breast,935,Asia,2,0,120381,2045,120924,543,0.4511
20,Breast,935,Asia,2,0,120381,2050,119303,-1078,-0.8955
