Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Risk change,Risk percentage (%)
20,Breast,903,Africa,2,1,74672,2022,74672,0,0
20,Breast,903,Africa,2,1,74672,2025,82963,8291,11.1032
20,Breast,903,Africa,2,1,74672,2030,98495,23823,31.9035
20,Breast,903,Africa,2,1,74672,2035,116077,41405,55.4492
20,Breast,903,Africa,2,1,74672,2040,135814,61142,81.8808
20,Breast,903,Africa,2,1,74672,2045,158271,83599,111.9549
20,Breast,903,Africa,2,1,74672,2050,184089,109417,146.5302
20,Breast,904,Latin America and the Caribbean,2,1,55783,2022,55783,0,0
20,Breast,904,Latin America and the Caribbean,2,1,55783,2025,58775,2992,5.3636
20,Breast,904,Latin America and the Caribbean,2,1,55783,2030,67458,11675,20.9293
20,Breast,904,Latin America and the Caribbean,2,1,55783,2035,76717,20934,37.5276
20,Breast,904,Latin America and the Caribbean,2,1,55783,2040,86148,30365,54.4341
20,Breast,904,Latin America and the Caribbean,2,1,55783,2045,95252,39469,70.7545
20,Breast,904,Latin America and the Caribbean,2,1,55783,2050,103750,47967,85.9886
20,Breast,905,Northern America,2,1,48353,2022,48353,0,0
20,Breast,905,Northern America,2,1,48353,2025,51289,2936,6.072
20,Breast,905,Northern America,2,1,48353,2030,57085,8732,18.0589
20,Breast,905,Northern America,2,1,48353,2035,62968,14615,30.2256
20,Breast,905,Northern America,2,1,48353,2040,68104,19751,40.8475
20,Breast,905,Northern America,2,1,48353,2045,71995,23642,48.8946
20,Breast,905,Northern America,2,1,48353,2050,74672,26319,54.431
20,Breast,908,Europe,2,1,141303,2022,141303,0,0
20,Breast,908,Europe,2,1,141303,2025,144194,2891,2.046
20,Breast,908,Europe,2,1,141303,2030,153583,12280,8.6905
20,Breast,908,Europe,2,1,141303,2035,162876,21573,15.2672
20,Breast,908,Europe,2,1,141303,2040,170413,29110,20.6011
20,Breast,908,Europe,2,1,141303,2045,175708,34405,24.3484
20,Breast,908,Europe,2,1,141303,2050,178982,37679,26.6654
20,Breast,909,Oceania,2,1,5188,2022,5188,0,0
20,Breast,909,Oceania,2,1,5188,2025,5646,458,8.8281
20,Breast,909,Oceania,2,1,5188,2030,6426,1238,23.8628
20,Breast,909,Oceania,2,1,5188,2035,7255,2067,39.8419
20,Breast,909,Oceania,2,1,5188,2040,8047,2859,55.1079
20,Breast,909,Oceania,2,1,5188,2045,8784,3596,69.3138
20,Breast,909,Oceania,2,1,5188,2050,9480,4292,82.7294
20,Breast,935,Asia,2,1,292104,2022,292104,0,0
20,Breast,935,Asia,2,1,292104,2025,318951,26847,9.1909
20,Breast,935,Asia,2,1,292104,2030,360596,68492,23.4478
20,Breast,935,Asia,2,1,292104,2035,401471,109367,37.4411
20,Breast,935,Asia,2,1,292104,2040,439001,146897,50.2893
20,Breast,935,Asia,2,1,292104,2045,473337,181233,62.044
20,Breast,935,Asia,2,1,292104,2050,504689,212585,72.7772
