Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Risk change,Risk percentage (%)
20,Breast,903,Africa,2,1,91252,2022,91252,0,0
20,Breast,903,Africa,2,1,91252,2025,100973,9721,10.6529
20,Breast,903,Africa,2,1,91252,2030,118621,27369,29.9928
20,Breast,903,Africa,2,1,91252,2035,138885,47633,52.1994
20,Breast,903,Africa,2,1,91252,2040,161904,70652,77.4252
20,Breast,903,Africa,2,1,91252,2045,187792,96540,105.7949
20,Breast,903,Africa,2,1,91252,2050,216669,125417,137.4403
20,Breast,904,Latin America and the Caribbean,2,1,59876,2022,59876,0,0
20,Breast,904,Latin America and the Caribbean,2,1,59876,2025,62924,3048,5.0905
20,Breast,904,Latin America and the Caribbean,2,1,59876,2030,71657,11781,19.6757
20,Breast,904,Latin America and the Caribbean,2,1,59876,2035,80890,21014,35.0959
20,Breast,904,Latin America and the Caribbean,2,1,59876,2040,90234,30358,50.7015
20,Breast,904,Latin America and the Caribbean,2,1,59876,2045,99258,39382,65.7726
20,Breast,904,Latin America and the Caribbean,2,1,59876,2050,107655,47779,79.7966
20,Breast,905,Northern America,2,1,49744,2022,49744,0,0
20,Breast,905,Northern America,2,1,49744,2025,52718,2974,5.9786
20,Breast,905,Northern America,2,1,49744,2030,58537,8793,17.6765
20,Breast,905,Northern America,2,1,49744,2035,64422,14678,29.5071
20,Breast,905,Northern America,2,1,49744,2040,69588,19844,39.8922
20,Breast,905,Northern America,2,1,49744,2045,73473,23729,47.7022
20,Breast,905,Northern America,2,1,49744,2050,76091,26347,52.9652
20,Breast,908,Europe,2,1,144439,2022,144439,0,0
20,Breast,908,Europe,2,1,144439,2025,147220,2781,1.9254
20,Breast,908,Europe,2,1,144439,2030,156264,11825,8.1868
20,Breast,908,Europe,2,1,144439,2035,165359,20920,14.4836
20,Breast,908,Europe,2,1,144439,2040,172897,28458,19.7024
20,Breast,908,Europe,2,1,144439,2045,178275,33836,23.4258
20,Breast,908,Europe,2,1,144439,2050,181511,37072,25.6662
20,Breast,909,Oceania,2,1,5483,2022,5483,0,0
20,Breast,909,Oceania,2,1,5483,2025,5975,492,8.9732
20,Breast,909,Oceania,2,1,5483,2030,6761,1278,23.3084
20,Breast,909,Oceania,2,1,5483,2035,7588,2105,38.3914
20,Breast,909,Oceania,2,1,5483,2040,8387,2904,52.9637
20,Breast,909,Oceania,2,1,5483,2045,9143,3660,66.7518
20,Breast,909,Oceania,2,1,5483,2050,9847,4364,79.5915
20,Breast,935,Asia,2,1,315309,2022,315309,0,0
20,Breast,935,Asia,2,1,315309,2025,342950,27641,8.7663
20,Breast,935,Asia,2,1,315309,2030,383808,68499,21.7244
20,Breast,935,Asia,2,1,315309,2035,424270,108961,34.5569
20,Breast,935,Asia,2,1,315309,2040,462001,146692,46.5233
20,Breast,935,Asia,2,1,315309,2045,496622,181313,57.5033
20,Breast,935,Asia,2,1,315309,2050,527771,212462,67.3822
