Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Risk change,Risk percentage (%)
20,Breast,903,Africa,2,0,198553,2022,198553,0,0
20,Breast,903,Africa,2,0,198553,2025,219685,21132,10.643
20,Breast,903,Africa,2,0,198553,2030,256947,58394,29.4098
20,Breast,903,Africa,2,0,198553,2035,299331,100778,50.7562
20,Breast,903,Africa,2,0,198553,2040,347054,148501,74.7916
20,Breast,903,Africa,2,0,198553,2045,400297,201744,101.6071
20,Breast,903,Africa,2,0,198553,2050,459152,260599,131.2491
20,Breast,904,Latin America and the Caribbean,2,0,220124,2022,220124,0,0
20,Breast,904,Latin America and the Caribbean,2,0,220124,2025,231994,11870,5.3924
20,Breast,904,Latin America and the Caribbean,2,0,220124,2030,258544,38420,17.4538
20,Breast,904,Latin America and the Caribbean,2,0,220124,2035,284562,64438,29.2735
20,Breast,904,Latin America and the Caribbean,2,0,220124,2040,309084,88960,40.4136
20,Breast,904,Latin America and the Caribbean,2,0,220124,2045,331243,111119,50.4802
20,Breast,904,Latin America and the Caribbean,2,0,220124,2050,350451,130327,59.2062
20,Breast,905,Northern America,2,0,306307,2022,306307,0,0
20,Breast,905,Northern America,2,0,306307,2025,322867,16560,5.4063
20,Breast,905,Northern America,2,0,306307,2030,342910,36603,11.9498
20,Breast,905,Northern America,2,0,306307,2035,359658,53351,17.4175
20,Breast,905,Northern America,2,0,306307,2040,373173,66866,21.8297
20,Breast,905,Northern America,2,0,306307,2045,384261,77954,25.4496
20,Breast,905,Northern America,2,0,306307,2050,393965,87658,28.6177
20,Breast,908,Europe,2,0,557532,2022,557532,0,0
20,Breast,908,Europe,2,0,557532,2025,564059,6527,1.1707
20,Breast,908,Europe,2,0,557532,2030,581443,23911,4.2887
20,Breast,908,Europe,2,0,557532,2035,593552,36020,6.4606
20,Breast,908,Europe,2,0,557532,2040,599934,42402,7.6053
20,Breast,908,Europe,2,0,557532,2045,600704,43172,7.7434
20,Breast,908,Europe,2,0,557532,2050,597004,39472,7.0798
20,Breast,909,Oceania,2,0,28507,2022,28507,0,0
20,Breast,909,Oceania,2,0,28507,2025,30820,2313,8.1138
20,Breast,909,Oceania,2,0,28507,2030,34098,5591,19.6127
20,Breast,909,Oceania,2,0,28507,2035,37342,8835,30.9924
20,Breast,909,Oceania,2,0,28507,2040,40451,11944,41.8985
20,Breast,909,Oceania,2,0,28507,2045,43377,14870,52.1626
20,Breast,909,Oceania,2,0,28507,2050,46135,17628,61.8374
20,Breast,935,Asia,2,0,985817,2022,985817,0,0
20,Breast,935,Asia,2,0,985817,2025,1057792,71975,7.3011
20,Breast,935,Asia,2,0,985817,2030,1154577,168760,17.1188
20,Breast,935,Asia,2,0,985817,2035,1243955,258138,26.1852
20,Breast,935,Asia,2,0,985817,2040,1320310,334493,33.9305
20,Breast,935,Asia,2,0,985817,2045,1384359,398542,40.4276
20,Breast,935,Asia,2,0,985817,2050,1436731,450914,45.7401
