Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
N.A.,20,903,903,Africa,0,16580,3.4,3.0,0.18
N.A.,20,904,904,Latin America and the Caribbean,0,4093,1.5,2.0,0.08
N.A.,20,905,905,Northern America,0,1391,1.0,1.5,0.06
N.A.,20,908,908,Europe,0,3136,1.1,1.9,0.06
N.A.,20,909,909,Oceania,0,295,1.8,2.3,0.10
N.A.,20,935,935,Asia,0,23205,1.3,1.7,0.07
,,,,Total,,48700,1.6,2.0,0.09
