Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
N.A.,20,903,903,Africa,0,43168,8.7,7.8,0.46
N.A.,20,904,904,Latin America and the Caribbean,0,28132,10.3,13.6,0.55
N.A.,20,905,905,Northern America,0,18096,13.1,19.2,0.71
N.A.,20,908,908,Europe,0,34196,12.7,20.4,0.68
N.A.,20,909,909,Oceania,0,2087,12.5,16.6,0.68
N.A.,20,935,935,Asia,0,120381,6.5,8.9,0.35
,,,,Total,,246060,8.1,10.3,0.44
