Cancer id,Cancer label,Population code (ISO/UN),Alpha‑3 code,Population,Sex,Incidence - ASR (World),Mortality - ASR (World),Grouped by
20,Breast,704,VNM,Viet Nam,0,105.07,43.14,High HDI
20,Breast,982,,High HDI country,0,104.48,27.2,High HDI
20,Breast,604,PER,Peru,0,98.56,26.6,High HDI
20,Breast,788,TUN,Tunisia,0,93.39,30.09,High HDI
20,Breast,266,GAB,Gabon,0,92.06,35.3,High HDI
20,Breast,156,CHN,China,0,90.81,17.83,High HDI
20,Breast,031,AZE,Azerbaijan,0,85.25,33.39,High HDI
20,Breast,144,LKA,Sri Lanka,0,79.18,33.37,High HDI
20,Breast,434,LBY,Libya,0,78.58,37.28,High HDI
20,Breast,795,TKM,Turkmenistan,0,77.41,43.14,High HDI
20,Breast,364,IRN,"Iran, Islamic Republic of",0,74.14,31.58,High HDI
20,Breast,860,UZB,Uzbekistan,0,71.91,37.14,High HDI
20,Breast,496,MNG,Mongolia,0,34.14,8.34,High HDI
20,Breast,608,PHL,Philippines,0,167.27,63.16,Medium HDI
20,Breast,368,IRQ,Iraq,0,154.15,66.45,Medium HDI
20,Breast,504,MAR,Morocco,0,153.76,50.62,Medium HDI
20,Breast,516,NAM,Namibia,0,146.94,63.06,Medium HDI
20,Breast,084,BLZ,Belize,0,132.86,34.21,Medium HDI
20,Breast,862,VEN,Venezuela,0,129.15,47.32,Medium HDI
20,Breast,120,CMR,Cameroon,0,128.13,74.36,Medium HDI
20,Breast,090,SLB,Solomon Islands,0,126.73,55.79,Medium HDI
20,Breast,760,SYR,Syrian Arab Republic,0,123.96,59.91,Medium HDI
20,Breast,598,PNG,Papua New Guinea,0,122.96,74.08,Medium HDI
20,Breast,384,CIV,"Côte d'Ivoire",0,116.81,66.87,Medium HDI
20,Breast,404,KEN,Kenya,0,115.46,56.47,Medium HDI
20,Breast,222,SLV,El Salvador,0,107.58,22.07,Medium HDI
20,Breast,288,GHA,Ghana,0,103.69,50.93,Medium HDI
20,Breast,558,NIC,Nicaragua,0,101.93,30.84,Medium HDI
20,Breast,716,ZWE,Zimbabwe,0,101.55,53.87,Medium HDI
20,Breast,226,GNQ,Equatorial Guinea,0,100.76,54.4,Medium HDI
20,Breast,478,MRT,Mauritania,0,89.19,49.17,Medium HDI
20,Breast,418,LAO,"Lao People's Democratic Republic",0,81.74,35.79,Medium HDI
20,Breast,983,,Medium HDI country,0,80.79,40.08,Medium HDI
20,Breast,320,GTM,Guatemala,0,77.19,19.7,Medium HDI
20,Breast,024,AGO,Angola,0,76.05,39.1,Medium HDI
20,Breast,340,HND,Honduras,0,75.68,30.54,Medium HDI
20,Breast,178,COG,"Congo, Republic of",0,74.66,35.24,Medium HDI
20,Breast,748,SWZ,Eswatini,0,73.61,32.16,Medium HDI
20,Breast,548,VUT,Vanuatu,0,73.53,22.46,Medium HDI
20,Breast,356,IND,India,0,73.46,39.94,Medium HDI
20,Breast,626,TLS,Timor-Leste,0,69.33,29.75,Medium HDI
20,Breast,417,KGZ,Kyrgyzstan,0,67.91,24.22,Medium HDI
20,Breast,116,KHM,Cambodia,0,66.38,31.34,Medium HDI
20,Breast,132,CPV,Cape Verde,0,62.63,21.76,Medium HDI
20,Breast,894,ZMB,Zambia,0,62.5,31.4,Medium HDI
20,Breast,072,BWA,Botswana,0,62.35,22.83,Medium HDI
20,Breast,068,BOL,Bolivia,0,60.63,20.16,Medium HDI
20,Breast,104,MMR,Myanmar,0,58.46,27.89,Medium HDI
20,Breast,174,COM,Comoros,0,58.26,33.59,Medium HDI
20,Breast,678,STP,Sao Tome and Principe,0,47.94,27.1,Medium HDI
20,Breast,762,TJK,Tajikistan,0,47.32,20.4,Medium HDI
20,Breast,050,BGD,Bangladesh,0,37.79,20.63,Medium HDI
