Cancer id,Cancer label,Population code (ISO/UN),Alpha‑3 code,Population,Sex,Incidence - ASR (World),Mortality - ASR (World),Grouped by
20,Breast,250,FRA,France (metropolitan),0,105.42,15.78,Very high HDI
20,Breast,196,CYP,Cyprus,0,104.75,18.61,Very high HDI
20,Breast,056,BEL,Belgium,0,104.39,14.19,Very high HDI
20,Breast,528,NLD,The Netherlands,0,101.6,14.53,Very high HDI
20,Breast,036,AUS,Australia,0,101.47,12.28,Very high HDI
20,Breast,442,LUX,Luxembourg,0,99.7,15.09,Very high HDI
20,Breast,840,USA,United States of America,0,95.91,12.19,Very high HDI
20,Breast,578,NOR,Norway,0,95.56,11,Very high HDI
20,Breast,208,DNK,Denmark,0,95.42,14.08,Very high HDI
20,Breast,554,NZL,New Zealand,0,94.36,15.52,Very high HDI
20,Breast,826,GBR,United Kingdom,0,94.03,13.98,Very high HDI
20,Breast,246,FIN,Finland,0,92.33,11.89,Very high HDI
20,Breast,372,IRL,Ireland,0,91.45,17.18,Very high HDI
20,Breast,620,PRT,Portugal,0,88.75,14.53,Very high HDI
20,Breast,124,CAN,Canada,0,88.59,13.39,Very high HDI
20,Breast,380,ITA,Italy,0,87.01,14.83,Very high HDI
20,Breast,470,MLT,Malta,0,86.3,13.8,Very high HDI
20,Breast,300,GRC,Greece,0,82.36,14.74,Very high HDI
20,Breast,705,SVN,Slovenia,0,82.27,15.03,Very high HDI
20,Breast,752,SWE,Sweden,0,81.41,11.86,Very high HDI
20,Breast,724,ESP,Spain,0,80.96,10.56,Very high HDI
20,Breast,376,ISR,Israel,0,78.74,16.2,Very high HDI
20,Breast,756,CHE,Switzerland,0,77.42,12.36,Very high HDI
20,Breast,276,DEU,Germany,0,77.02,15.81,Very high HDI
20,Breast,499,MNE,Montenegro,0,76.54,23.26,Very high HDI
20,Breast,348,HUN,Hungary,0,76.38,16.86,Very high HDI
20,Breast,981,,Very HDI country,0,75.63,13.21,Very high HDI
20,Breast,858,URY,Uruguay,0,75.05,21.57,Very high HDI
20,Breast,191,HRV,Croatia,0,74.64,11.65,Very high HDI
20,Breast,392,JPN,Japan,0,74.39,9.68,Very high HDI
20,Breast,702,SGP,Singapore,0,72.61,17.82,Very high HDI
20,Breast,203,CZE,Czechia,0,72.51,11.69,Very high HDI
20,Breast,032,ARG,Argentina,0,71.32,17.58,Very high HDI
20,Breast,352,ISL,Iceland,0,71.06,17.13,Very high HDI
20,Breast,040,AUT,Austria,0,69.54,14.26,Very high HDI
20,Breast,642,ROU,Romania,0,69.22,16.47,Very high HDI
20,Breast,703,SVK,Slovakia,0,67.3,18.1,Very high HDI
20,Breast,616,POL,Poland,0,65.96,17.39,Very high HDI
20,Breast,428,LVA,Latvia,0,65.95,16.29,Very high HDI
20,Breast,044,BHS,Bahamas,0,64.64,31.69,Very high HDI
20,Breast,233,EST,Estonia,0,63.06,13.23,Very high HDI
20,Breast,440,LTU,Lithuania,0,62.74,14.47,Very high HDI
20,Breast,410,KOR,"Korea, Republic of",0,61.48,5.8,Very high HDI
20,Breast,688,SRB,Serbia,0,60.5,18.52,Very high HDI
20,Breast,048,BHR,Bahrain,0,58.49,19.67,Very high HDI
20,Breast,643,RUS,Russian Federation,0,57.67,13.58,Very high HDI
20,Breast,784,ARE,United Arab Emirates,0,57.05,15.92,Very high HDI
20,Breast,112,BLR,Belarus,0,56.57,13.3,Very high HDI
20,Breast,780,TTO,Trinidad and Tobago,0,54,22.11,Very high HDI
20,Breast,480,MUS,Mauritius,0,52.68,18.97,Very high HDI
20,Breast,096,BRN,Brunei Darussalam,0,50.16,14.28,Very high HDI
20,Breast,414,KWT,Kuwait,0,49.83,16.99,Very high HDI
20,Breast,268,GEO,Georgia,0,49.04,20.64,Very high HDI
20,Breast,792,TUR,Türkiye,0,46.77,12.52,Very high HDI
20,Breast,458,MYS,Malaysia,0,46.09,19.3,Very high HDI
20,Breast,591,PAN,Panama,0,41.39,10.46,Very high HDI
