Cancer id,Most common site,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,834,"Tanzania, United Republic of",TZA,0,1,1.22
20,Breast,616,Poland,POL,0,1,1.21
20,Breast,643,Russian Federation,RUS,0,1,1.19
20,Breast,682,Saudi Arabia,SAU,0,1,1.17
20,Breast,124,Canada,CAN,0,1,1.16
20,Breast,826,United Kingdom,GBR,0,1,1.14
20,Breast,470,Malta,MLT,0,1,1.13
20,Breast,084,Belize,BLZ,0,1,1.12
20,Breast,524,Nepal,NPL,0,1,1.11
20,Breast,558,Nicaragua,NIC,0,1,1.1
20,Breast,591,Panama,PAN,0,1,1.1
20,Breast,112,Belarus,BLR,0,1,1.09
20,Breast,694,Sierra Leone,SLE,0,1,1.09
20,Breast,348,Hungary,HUN,0,1,1.08
20,Breast,894,Zambia,ZMB,0,1,1.08
20,Breast,222,El Salvador,SLV,0,1,1.07
20,Breast,442,Luxembourg,LUX,0,1,1.06
20,Breast,626,Timor-Leste,TLS,0,1,1.06
20,Breast,484,Mexico,MEX,0,1,1.05
20,Breast,218,Ecuador,ECU,0,1,1.04
20,Breast,426,Lesotho,LSO,0,1,1.03
20,Breast,688,Serbia,SRB,0,1,1.02
20,Breast,040,Austria,AUT,0,1,1.01
20,Breast,398,Kazakhstan,KAZ,0,1,1
20,Breast,380,Italy,ITA,0,1,0.98
20,Breast,840,United States of America,USA,0,1,0.98
20,Breast,300,Greece,GRC,0,1,0.97
20,Breast,428,Latvia,LVA,0,1,0.97
20,Breast,528,The Netherlands,NLD,0,1,0.97
20,Breast,634,Qatar,QAT,0,1,0.97
20,Breast,724,Spain,ESP,0,1,0.93
20,Breast,804,Ukraine,UKR,0,1,0.9
20,Breast,070,Bosnia Herzegovina,BIH,0,1,0.88
20,Breast,056,Belgium,BEL,0,1,0.87
20,Breast,152,Chile,CHL,0,1,0.87
20,Breast,188,Costa Rica,CRI,0,1,0.87
20,Breast,254,French Guyana,GUF,0,1,0.86
20,Breast,051,Armenia,ARM,0,1,0.83
20,Breast,144,Sri Lanka,LKA,0,1,0.83
20,Breast,192,Cuba,CUB,0,1,0.83
20,Breast,705,Slovenia,SVN,0,1,0.8
20,Breast,036,Australia,AUS,0,1,0.79
20,Breast,702,Singapore,SGP,0,1,0.79
20,Breast,410,"Korea, Republic of",KOR,0,1,0.78
20,Breast,320,Guatemala,GTM,0,1,0.77
20,Breast,496,Mongolia,MNG,0,1,0.77
20,Breast,203,Czechia,CZE,0,1,0.76
20,Breast,233,Estonia,EST,0,1,0.76
20,Breast,752,Sweden,SWE,0,1,0.76
20,Breast,048,Bahrain,BHR,0,1,0.72
20,Breast,008,Albania,ALB,0,1,0.69
20,Breast,208,Denmark,DNK,0,1,0.69
20,Breast,392,Japan,JPN,0,1,0.65
20,Breast,417,Kyrgyzstan,KGZ,0,1,0.64
20,Breast,578,Norway,NOR,0,1,0.64
20,Breast,246,Finland,FIN,0,1,0.61
20,Breast,156,China,CHN,0,1,0.57
20,Breast,196,Cyprus,CYP,0,1,0.57
20,Breast,414,Kuwait,KWT,0,1,0.54
20,Breast,756,Switzerland,CHE,0,1,0.52
20,Breast,784,United Arab Emirates,ARE,0,1,0.5
20,Breast,096,Brunei Darussalam,BRN,0,1,0.49
20,Breast,064,Bhutan,BTN,0,1,0.28
20,Breast,316,Guam,GUM,0,1,0
