Cancer id,Cancer label,Population code (ISO/UN),Alpha‑3 code,Population,Sex,Incidence - ASR (World),Mortality - ASR (World),Grouped by
20,Breast,356,IND,India,0,4.55,1.35,Asia
20,Breast,398,KAZ,Kazakhstan,0,4.46,1,Asia
20,Breast,784,ARE,United Arab Emirates,0,4.22,0.5,Asia
20,Breast,524,NPL,Nepal,0,3.73,1.11,Asia
20,Breast,144,LKA,Sri Lanka,0,3.44,0.83,Asia
20,Breast,496,MNG,Mongolia,0,2.51,0.77,Asia
20,Breast,064,BTN,Bhutan,0,0.82,0.28,Asia
20,Breast,620,PRT,Portugal,0,22.29,1.49,Europe
20,Breast,250,FRA,France (metropolitan),0,20.95,1.33,Europe
20,Breast,470,MLT,Malta,0,19.17,1.13,Europe
20,Breast,196,CYP,Cyprus,0,17.33,0.57,Europe
20,Breast,380,ITA,Italy,0,17.07,0.98,Europe
20,Breast,056,BEL,Belgium,0,17.05,0.87,Europe
20,Breast,528,NLD,The Netherlands,0,16.54,0.97,Europe
20,Breast,724,ESP,Spain,0,15.67,0.93,Europe
20,Breast,442,LUX,Luxembourg,0,15.6,1.06,Europe
20,Breast,300,GRC,Greece,0,15.15,0.97,Europe
20,Breast,008,ALB,Albania,0,14.59,0.69,Europe
20,Breast,807,MKD,North Macedonia,0,13.89,1.44,Europe
20,Breast,191,HRV,Croatia,0,13.6,1.27,Europe
20,Breast,705,SVN,Slovenia,0,13.3,0.8,Europe
20,Breast,040,AUT,Austria,0,13.22,1.01,Europe
20,Breast,642,ROU,Romania,0,13.07,1.31,Europe
20,Breast,756,CHE,Switzerland,0,12.95,0.52,Europe
20,Breast,203,CZE,Czechia,0,12.73,0.76,Europe
20,Breast,908,,Europe,0,12.69,1.12,Europe
20,Breast,826,GBR,United Kingdom,0,12.47,1.14,Europe
20,Breast,348,HUN,Hungary,0,12.23,1.08,Europe
20,Breast,616,POL,Poland,0,12.23,1.21,Europe
20,Breast,578,NOR,Norway,0,12.2,0.64,Europe
20,Breast,428,LVA,Latvia,0,12.03,0.97,Europe
20,Breast,208,DNK,Denmark,0,12.02,0.69,Europe
20,Breast,372,IRL,Ireland,0,11.71,1.3,Europe
20,Breast,752,SWE,Sweden,0,11.23,0.76,Europe
20,Breast,703,SVK,Slovakia,0,10.83,1.26,Europe
20,Breast,276,DEU,Germany,0,10.81,1.27,Europe
20,Breast,499,MNE,Montenegro,0,10.79,1.24,Europe
20,Breast,440,LTU,Lithuania,0,10.76,1.25,Europe
20,Breast,100,BGR,Bulgaria,0,10.3,1.35,Europe
20,Breast,643,RUS,Russian Federation,0,10.1,1.19,Europe
20,Breast,498,MDA,Moldova,0,9.85,1.86,Europe
20,Breast,233,EST,Estonia,0,9.7,0.76,Europe
20,Breast,352,ISL,Iceland,0,9.3,1.51,Europe
20,Breast,246,FIN,Finland,0,9.19,0.61,Europe
20,Breast,112,BLR,Belarus,0,9.17,1.09,Europe
20,Breast,688,SRB,Serbia,0,8.29,1.02,Europe
20,Breast,070,BIH,Bosnia Herzegovina,0,8.25,0.88,Europe
20,Breast,804,UKR,Ukraine,0,6.9,0.9,Europe
20,Breast,388,JAM,Jamaica,0,21.16,5.1,Latin America and the Caribbean
20,Breast,052,BRB,Barbados,0,17.33,2.83,Latin America and the Caribbean
20,Breast,662,LCA,Saint Lucia,0,16.97,2.35,Latin America and the Caribbean
20,Breast,474,MTQ,"France, Martinique",0,16.5,2.8,Latin America and the Caribbean
20,Breast,044,BHS,Bahamas,0,15.63,3.04,Latin America and the Caribbean
20,Breast,032,ARG,Argentina,0,15.39,1.96,Latin America and the Caribbean
20,Breast,312,GLP,"France, Guadeloupe",0,15.38,2.81,Latin America and the Caribbean
20,Breast,214,DOM,Dominican Republic,0,15.34,3.6,Latin America and the Caribbean
20,Breast,600,PRY,Paraguay,0,14.77,1.68,Latin America and the Caribbean
20,Breast,740,SUR,Suriname,0,12.78,1.78,Latin America and the Caribbean
20,Breast,858,URY,Uruguay,0,12.25,2.03,Latin America and the Caribbean
20,Breast,170,COL,Colombia,0,11.62,1.36,Latin America and the Caribbean
20,Breast,604,PER,Peru,0,11.41,1.32,Latin America and the Caribbean
20,Breast,591,PAN,Panama,0,11.39,1.1,Latin America and the Caribbean
20,Breast,076,BRA,Brazil,0,11.17,1.62,Latin America and the Caribbean
20,Breast,068,BOL,Bolivia,0,10.85,1.59,Latin America and the Caribbean
20,Breast,904,,Latin America and the Caribbean,0,10.32,1.47,Latin America and the Caribbean
20,Breast,780,TTO,Trinidad and Tobago,0,10.01,1.73,Latin America and the Caribbean
20,Breast,328,GUY,Guyana,0,9.15,2.23,Latin America and the Caribbean
20,Breast,630,PRI,Puerto Rico,0,9.01,1.46,Latin America and the Caribbean
20,Breast,484,MEX,Mexico,0,8.85,1.05,Latin America and the Caribbean
20,Breast,862,VEN,Venezuela,0,8.48,1.5,Latin America and the Caribbean
20,Breast,218,ECU,Ecuador,0,8.13,1.04,Latin America and the Caribbean
20,Breast,254,GUF,French Guyana,0,7.79,0.86,Latin America and the Caribbean
20,Breast,152,CHL,Chile,0,7.73,0.87,Latin America and the Caribbean
20,Breast,222,SLV,El Salvador,0,7.69,1.07,Latin America and the Caribbean
20,Breast,332,HTI,Haiti,0,6.63,2.12,Latin America and the Caribbean
20,Breast,084,BLZ,Belize,0,6.22,1.12,Latin America and the Caribbean
20,Breast,192,CUB,Cuba,0,6.07,0.83,Latin America and the Caribbean
20,Breast,320,GTM,Guatemala,0,5.36,0.77,Latin America and the Caribbean
20,Breast,188,CRI,Costa Rica,0,5.04,0.87,Latin America and the Caribbean
20,Breast,340,HND,Honduras,0,4.51,2.12,Latin America and the Caribbean
20,Breast,558,NIC,Nicaragua,0,3.97,1.1,Latin America and the Caribbean
20,Breast,840,USA,United States of America,0,13.38,0.98,Northern America
20,Breast,905,,Northern America,0,13.14,1,Northern America
20,Breast,124,CAN,Canada,0,11.08,1.16,Northern America
20,Breast,540,NCL,New Caledonia,0,15.32,1.71,Oceania
20,Breast,242,FJI,Fiji,0,15.14,4.99,Oceania
20,Breast,554,NZL,New Zealand,0,14.31,1.45,Oceania
20,Breast,036,AUS,Australia,0,13.12,0.79,Oceania
20,Breast,090,SLB,Solomon Islands,0,12.68,3.81,Oceania
20,Breast,258,PYF,French Polynesia,0,12.52,2.42,Oceania
20,Breast,909,,Oceania,0,12.52,1.77,Oceania
20,Breast,882,WSM,Samoa,0,11.89,1.53,Oceania
20,Breast,598,PNG,Papua New Guinea,0,9.82,4.35,Oceania
20,Breast,548,VUT,Vanuatu,0,8.92,2.47,Oceania
20,Breast,316,GUM,Guam,0,4.79,0,Oceania
