Cancer id,Most common site,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,434,Libya,LBY,0,1,37.28
20,Breast,860,Uzbekistan,UZB,0,1,37.14
20,Breast,036,Australia,AUS,0,1,36.72
20,Breast,398,Kazakhstan,KAZ,0,1,36.34
20,Breast,840,United States of America,USA,0,1,35.99
20,Breast,246,Finland,FIN,0,1,35.86
20,Breast,418,"Lao People's Democratic Republic",LAO,0,1,35.79
20,Breast,792,Türkiye,TUR,0,1,35.68
20,Breast,752,Sweden,SWE,0,1,35.45
20,Breast,266,Gabon,GAB,0,1,35.3
20,Breast,178,"Congo, Republic of",COG,0,1,35.24
20,Breast,800,Uganda,UGA,0,1,34.94
20,Breast,203,Czechia,CZE,0,1,34.93
20,Breast,512,Oman,OMN,0,1,34.92
20,Breast,887,Yemen,YEM,0,1,34.86
20,Breast,084,Belize,BLZ,0,1,34.21
20,Breast,764,Thailand,THA,0,1,34.05
20,Breast,191,Croatia,HRV,0,1,33.69
20,Breast,174,Comoros,COM,0,1,33.59
20,Breast,638,"France, La Réunion",REU,0,1,33.58
20,Breast,634,Qatar,QAT,0,1,33.53
20,Breast,031,Azerbaijan,AZE,0,1,33.39
20,Breast,144,Sri Lanka,LKA,0,1,33.37
20,Breast,578,Norway,NOR,0,1,33.02
20,Breast,218,Ecuador,ECU,0,1,32.66
20,Breast,508,Mozambique,MOZ,0,1,32.29
20,Breast,748,Eswatini,SWZ,0,1,32.16
20,Breast,364,"Iran, Islamic Republic of",IRN,0,1,31.58
20,Breast,894,Zambia,ZMB,0,1,31.4
20,Breast,188,Costa Rica,CRI,0,1,31.38
20,Breast,116,Cambodia,KHM,0,1,31.34
20,Breast,724,Spain,ESP,0,1,31.02
20,Breast,558,Nicaragua,NIC,0,1,30.84
20,Breast,340,Honduras,HND,0,1,30.54
20,Breast,591,Panama,PAN,0,1,30.34
20,Breast,152,Chile,CHL,0,1,30.3
20,Breast,788,Tunisia,TUN,0,1,30.09
20,Breast,484,Mexico,MEX,0,1,29.99
20,Breast,626,Timor-Leste,TLS,0,1,29.75
20,Breast,392,Japan,JPN,0,1,28.89
20,Breast,426,Lesotho,LSO,0,1,28.29
