Cancer id,Most common site,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,140,Central African Republic,CAF,0,0,95.96
20,Breast,204,Benin,BEN,0,0,93.98
20,Breast,788,Tunisia,TUN,0,0,93.39
20,Breast,262,Djibouti,DJI,0,0,92.5
20,Breast,266,Gabon,GAB,0,0,92.06
20,Breast,232,Eritrea,ERI,0,0,91.7
20,Breast,156,China,CHN,0,0,90.81
20,Breast,586,Pakistan,PAK,0,0,90.06
20,Breast,478,Mauritania,MRT,0,0,89.19
20,Breast,512,Oman,OMN,0,0,86.74
20,Breast,768,Togo,TGO,0,0,85.52
20,Breast,430,Liberia,LBR,0,0,85.42
20,Breast,031,Azerbaijan,AZE,0,0,85.25
20,Breast,408,"Korea, Democratic People Republic of",PRK,0,0,83.95
20,Breast,418,"Lao People's Democratic Republic",LAO,0,0,81.74
20,Breast,450,Madagascar,MDG,0,0,81.6
20,Breast,144,Sri Lanka,LKA,0,0,79.18
20,Breast,434,Libya,LBY,0,0,78.58
20,Breast,795,Turkmenistan,TKM,0,0,77.41
20,Breast,320,Guatemala,GTM,0,0,77.19
20,Breast,686,Senegal,SEN,0,0,76.24
20,Breast,024,Angola,AGO,0,0,76.05
20,Breast,004,Afghanistan,AFG,0,0,75.76
20,Breast,340,Honduras,HND,0,0,75.68
20,Breast,178,"Congo, Republic of",COG,0,0,74.66
20,Breast,364,"Iran, Islamic Republic of",IRN,0,0,74.14
20,Breast,748,Eswatini,SWZ,0,0,73.61
20,Breast,548,Vanuatu,VUT,0,0,73.53
20,Breast,356,India,IND,0,0,73.46
20,Breast,728,South Sudan,SSD,0,0,72.26
20,Breast,860,Uzbekistan,UZB,0,0,71.91
20,Breast,834,"Tanzania, United Republic of",TZA,0,0,71.16
20,Breast,624,Guinea-Bissau,GNB,0,0,70.84
20,Breast,180,"Congo, Democratic People Republic of",COD,0,0,70.09
20,Breast,626,Timor-Leste,TLS,0,0,69.33
20,Breast,108,Burundi,BDI,0,0,69.18
20,Breast,562,Niger,NER,0,0,68.69
20,Breast,417,Kyrgyzstan,KGZ,0,0,67.91
20,Breast,116,Cambodia,KHM,0,0,66.38
20,Breast,454,Malawi,MWI,0,0,66.15
20,Breast,682,Saudi Arabia,SAU,0,0,65.44
20,Breast,332,Haiti,HTI,0,0,64.55
20,Breast,132,Cape Verde,CPV,0,0,62.63
20,Breast,894,Zambia,ZMB,0,0,62.5
20,Breast,800,Uganda,UGA,0,0,62.49
20,Breast,072,Botswana,BWA,0,0,62.35
20,Breast,068,Bolivia,BOL,0,0,60.63
20,Breast,887,Yemen,YEM,0,0,60.56
20,Breast,854,Burkina Faso,BFA,0,0,59.44
20,Breast,104,Myanmar,MMR,0,0,58.46
20,Breast,174,Comoros,COM,0,0,58.26
20,Breast,426,Lesotho,LSO,0,0,52.79
20,Breast,508,Mozambique,MOZ,0,0,51.55
20,Breast,678,Sao Tome and Principe,STP,0,0,47.94
20,Breast,762,Tajikistan,TJK,0,0,47.32
20,Breast,324,Guinea,GIN,0,0,42.63
20,Breast,646,Rwanda,RWA,0,0,41.84
20,Breast,050,Bangladesh,BGD,0,0,37.79
20,Breast,524,Nepal,NPL,0,0,36.93
20,Breast,496,Mongolia,MNG,0,0,34.14
20,Breast,148,Chad,TCD,0,0,32.51
20,Breast,270,The Republic of the Gambia,GMB,0,0,27.61
20,Breast,694,Sierra Leone,SLE,0,0,17.19
20,Breast,064,Bhutan,BTN,0,0,12.5
