Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
N.A.,20,981,981,Very HDI country,0,7025,1.2,1.8,0.06
N.A.,20,982,982,High HDI country,0,13420,1.2,1.8,0.06
N.A.,20,983,983,Medium HDI country,0,15259,1.7,2.0,0.09
N.A.,20,984,984,Low HDI country,0,12965,3.1,2.7,0.17
,,,,Total,,48669,1.6,2.0,0.09
