Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
N.A.,20,981,981,Very HDI country,0,1092663,75.6,131.6,8.2
N.A.,20,982,982,High HDI country,0,737959,38.8,53.9,4.1
N.A.,20,983,983,Medium HDI country,0,331089,29.7,29.8,3.2
N.A.,20,984,984,Low HDI country,0,134122,34.1,22.3,3.6
,,,,Total,,2295833,46.8,58.7,5.1
